2015-09-25	5	14
2015-09-26	1	2
2015-09-27	1	2
2015-09-28	12	15
2015-09-29	8	14
2015-09-30	10	28
2015-10-01	2	2
2015-10-04	1	0
2015-10-06	1	2
2015-10-07	2	3
2015-10-08	11	19
2015-10-09	7	28
2015-10-10	0	4
2015-10-11	0	2
2015-10-12	10	4
2015-10-13	7	4
2015-10-14	14	8
2015-10-15	18	10
2015-10-16	23	24
2015-10-17	2	1
2015-10-18	3	2
2015-10-19	14	23
2015-10-20	7	21
2015-10-21	5	26
2015-10-22	3	4
2015-10-23	7	9
2015-10-24	2	1
2015-10-25	1	0
2015-10-26	5	12
2015-10-27	4	5
2015-10-28	7	10
2015-10-29	19	6
2015-10-30	9	14
2015-10-31	0	4
2015-11-01	2	3
2015-11-02	4	11
2015-11-03	10	11
2015-11-04	12	12
2015-11-05	5	14
2015-11-06	13	7
2015-11-07	4	1
2015-11-08	2	0
2015-11-09	31	13
2015-11-10	16	15
2015-11-11	24	20
2015-11-12	11	10
2015-11-13	11	13
2015-11-14	1	2
2015-11-15	1	1
2015-11-16	13	14
2015-11-17	11	15
2015-11-18	20	23
2015-11-19	9	29
2015-11-20	9	30
2015-11-21	2	2
2015-11-22	2	0
2015-11-23	14	11
2015-11-24	10	8
2015-11-25	12	14
2015-11-26	4	14
2015-11-27	10	22
2015-11-28	1	1
2015-11-30	6	6
2015-12-01	9	24
2015-12-02	4	24
2015-12-03	3	3
2015-12-04	3	1
2015-12-06	0	1
2015-12-07	12	11
2015-12-08	15	13
2015-12-09	4	14
2015-12-10	8	20
2015-12-11	13	18
2015-12-12	0	1
2015-12-13	1	3
2015-12-14	3	4
2015-12-15	4	8
2015-12-16	2	1
2015-12-17	9	23
2015-12-18	13	13
2015-12-19	5	2
2015-12-20	0	1
2015-12-21	9	17
2015-12-22	13	18
2015-12-23	9	16
2015-12-24	4	4
2015-12-25	6	8
2015-12-26	3	3
2015-12-27	1	0
2015-12-28	15	19
2015-12-29	8	9
2015-12-30	15	30
2015-12-31	5	18
2016-01-01	3	2
2016-01-02	2	1
2016-01-03	1	4
2016-01-04	22	24
2016-01-05	11	27
2016-01-06	35	54
2016-01-07	11	17
2016-01-08	21	20
2016-01-09	6	0
2016-01-10	7	5
2016-01-11	10	24
2016-01-12	11	35
2016-01-13	67	111
2016-01-14	37	40
2016-01-15	8	13
2016-01-16	0	2
2016-01-17	0	1
2016-01-18	5	12
2016-01-19	7	8
2016-01-20	5	7
2016-01-21	3	10
2016-01-22	4	3
2016-01-24	1	0
2016-01-25	5	3
